Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Russell Westbrook,Thunder,2016-2017,REG,81,0.542,0.416,0.345,0.344,0,33.97,19.23,16.75,30,0.05,13.35,11.29,14.87
James Harden,Rockets,2016-2017,REG,81,0.588,0.399,0.427,0.349,0,34.71,10.65,5.36,49.02,0.26,15.42,12.61,17.63
Isaiah Thomas,Celtics,2016-2017,REG,76,0.541,0.492,0.5,0.38,0,41.79,8.41,6.21,43.52,0.07,13.75,11.85,15.4
Anthony Davis,Pelicans,2016-2017,REG,75,0.606,0.471,0.413,0.303,0,45.88,22.51,22.84,8.64,0.13,10.14,8.12,12.19
DeMar DeRozan,Raptors,2016-2017,REG,74,0.565,0.499,0.385,0.273,0,32.75,28.28,30.94,7.83,0.19,12.11,10.37,13.63
Damian Lillard,Trail Blazers,2016-2017,REG,75,0.535,0.399,0.453,0.372,0,35.95,11.63,13.64,38.64,0.13,14.59,12.73,16.08
DeMarcus Cousins,"Kings, Pelicans",2016-2017,REG,72,0.536,0.311,0.372,0.366,0,53.46,7.2,13.91,25.02,0.42,11.16,9.04,12.91
LeBron James,Cavaliers,2016-2017,REG,74,0.721,0.406,0.307,0.365,0,51.75,12.66,10.2,25.32,0.07,10.55,7.13,14.69
Kawhi Leonard,Spurs,2016-2017,REG,74,0.614,0.462,0.495,0.382,0,26.49,23.13,20.99,29.39,0,14.35,12.71,15.89
Stephen Curry,Warriors,2016-2017,REG,79,0.596,0.439,0.455,0.419,0.05,26.98,6.8,11.58,53.26,1.39,17.88,15.65,19.83
Kyrie Irving,Cavaliers,2016-2017,REG,72,0.545,0.446,0.485,0.406,0,35.19,19.46,14.39,30.75,0.21,13.46,12.17,14.61
Karl-Anthony Towns,Timberwolves,2016-2017,REG,82,0.641,0.446,0.416,0.371,0,58.69,11.83,10.89,18.39,0.2,9.22,7.03,11.82
Kevin Durant,Warriors,2016-2017,REG,62,0.728,0.438,0.555,0.377,0,34.7,19.79,15.11,30.21,0.19,13.35,10.57,16.57
Jimmy Butler,Bulls,2016-2017,REG,76,0.584,0.407,0.366,0.373,0,37.22,19.81,23.16,19.49,0.32,12.37,10.2,14.19
Paul George,Pacers,2016-2017,REG,75,0.572,0.423,0.484,0.393,0,21.03,14.04,28.38,36.48,0.07,16.57,15.29,17.66
Andrew Wiggins,Timberwolves,2016-2017,REG,82,0.572,0.374,0.383,0.36,0,40.08,16.21,25.34,18.25,0.13,12.11,9.97,13.88
Kemba Walker,Hornets,2016-2017,REG,79,0.513,0.395,0.43,0.401,0,35.38,8.9,14.28,41.24,0.21,14.5,13.07,15.64
John Wall,Wizards,2016-2017,REG,78,0.561,0.376,0.389,0.333,0,44.03,13.19,23.87,18.63,0.28,11.42,9.13,13.3
Bradley Beal,Wizards,2016-2017,REG,77,0.582,0.464,0.505,0.405,0,30.96,11.58,15.75,41.48,0.23,15.32,13.56,16.96
CJ McCollum,Trail Blazers,2016-2017,REG,80,0.538,0.522,0.452,0.426,0,28.36,18.86,22.26,30.1,0.42,14.62,13.53,15.62
Giannis Antetokounmpo,Bucks,2016-2017,REG,80,0.645,0.349,0.342,0.282,0,62.42,8.68,14.65,13.85,0.4,8.32,5.05,11.9
Carmelo Anthony,Knicks,2016-2017,REG,74,0.5,0.45,0.456,0.366,0,17.41,23.96,28.42,29.71,0.5,16.09,15.02,16.9
Kyle Lowry,Raptors,2016-2017,REG,60,0.569,0.432,0.4,0.415,0,32.42,9.61,7.1,50.76,0.11,15.98,14.35,17.4
Klay Thompson,Warriors,2016-2017,REG,78,0.608,0.453,0.462,0.414,0,20.19,13.94,18.88,46.99,0,17.17,15.8,18.38
Devin Booker,Suns,2016-2017,REG,78,0.513,0.43,0.381,0.365,0,28.74,20,22.94,28.18,0.14,14.3,12.73,15.45
Gordon Hayward,Jazz,2016-2017,REG,73,0.613,0.449,0.378,0.399,0,31.77,17.75,18.1,32.29,0.09,13.99,11.92,15.85
